facility_name,suburb,postcode,lat,long,formatted_address
NEERIM SOUTH POLICE STATION,Neerim South,3831,-38.01830769999998,145.9542584300001,76 MAIN NEERIM ROAD
QUEENSCLIFF POLICE STATION,Queenscliff,3225,-38.270115035999936,144.6610161960001,56 GELLIBRAND STREET
RAINBOW POLICE STATION,Rainbow,3424,-35.90210358799993,141.99646384400012,23 LAKE STREET
RAWSON POLICE STATION,Rawson,3825,-37.95615431299995,146.39756990500007,4 LEHMANN COURT
RAYWOOD POLICE STATION,Raywood,3570,-36.53866855199993,144.2039157800001,29 SANDHURST STREET
RED CLIFFS POLICE STATION,Red Cliffs,3496,-34.304045232999954,142.18678013200008,9 JACARANDA STREET
RESERVOIR POLICE STATION,Reservoir,3073,-37.71648180599993,145.00564234400008,23 EDWARDES STREET
RICHMOND POLICE STATION,Richmond,3121,-37.81744930999997,144.99957836500005,217-225 CHURCH STREET
RIDDELLS CREEK POLICE STATION,Riddells Creek,3431,-37.46196029799995,144.67857413000002,65 MAIN ROAD
RINGWOOD POLICE STATION,Ringwood,3134,-37.81313539299998,145.22713634000002,31 RINGWOOD STREET
ROBINVALE POLICE STATION,Robinvale,3549,-34.58553529599993,142.7706163150001,95 BROMLEY ROAD
ROCHESTER POLICE STATION,Rochester,3561,-36.36329107599994,144.69909604800011,27 MOORE STREET
ROKEWOOD POLICE STATION,Rokewood,3330,-37.90095037399993,143.7216534060001,54 FERRARS STREET
ROMSEY POLICE STATION,Romsey,3434,-37.34375334999993,144.7417154750001,157 MAIN STREET
ROSEBUD POLICE STATION,Rosebud,3939,-38.36981984899995,144.88965882500008,95 BONEO ROAD
ROSEDALE POLICE STATION,Rosedale,3847,-38.150698870999975,146.789340024,34-36 LYONS STREET
ROWVILLE POLICE STATION,Rowville,3178,-37.91889123999994,145.2388115000001,30 FULHAM ROAD
RUPANYUP POLICE STATION,Rupanyup,3388,-36.63310413599993,142.63070151800002,60-62 CROMIE STREET
RUSHWORTH POLICE STATION,Rushworth,3612,-36.59043329999997,145.01670871300007,75 HIGH STREET
RUTHERGLEN POLICE STATION,Rutherglen,3685,-36.05648902399997,146.45864043000006,167 HIGH STREET
RYE POLICE STATION,Rye,3941,-38.37064162899998,144.81892907100007,4 DUNDAS STREET
SALE POLICE STATION,Sale,3850,-38.11112573699995,147.06097962100012,11 REEVE STREET
SAN REMO POLICE STATION,San Remo,3925,-38.52103678299994,145.3784188620001,28-34 PHILLIP ISLAND ROAD
BAYSIDE POLICE STATION,Sandringham,3191,-37.94856942399997,145.00376000500012,25-29 ABBOTT STREET
SEA LAKE POLICE STATION,Sea Lake,3533,-35.50247624999997,142.84975527000006,102 HORACE STREET
SERPENTINE POLICE STATION,Serpentine,3517,-36.40601130199997,143.97410800500006,2 TRESISE STREET
SEYMOUR POLICE STATION,Seymour,3660,-37.01985793199998,145.12988911600007,60 TALLAROOK STREET
SHEPPARTON POLICE STATION,Shepparton,3630,-36.381530183999985,145.3979797180001,155 WELSFORD STREET
SKIPTON POLICE STATION,Skipton,3361,-37.68395993799993,143.36118627400003,22 BLAKE STREET
SMYTHESDALE POLICE STATION,Smythesdale,3351,-37.64322847999995,143.6865238900001,4 SEBASTOPOL-SMYTHESDALE ROAD
SORRENTO POLICE STATION,Sorrento,3943,-38.33613000799994,144.74214450500006,12 HOTHAM ROAD
SOUTH MELBOURNE POLICE STATION,South Melbourne,3205,-37.83484704099993,144.95956911500002,211 BANK STREET
SOUTHBANK POLICE STATION,Southbank,3006,-37.828318999999965,144.96093880800004,66 MORAY STREET
OLINDA POLICE STATION,Olinda,3788,-37.85610746399993,145.36504042,549 MOUNT DANDENONG TOURIST ROAD
OMEO POLICE STATION,Omeo,3898,-37.10203800199997,147.59233653500007,19 TONGIO ROAD
ORBOST POLICE STATION,Orbost,3888,-37.706650766999985,148.45599732300002,1 LAWSON LANE
