latitude,longitude,ext_id,emitted_lux_level,postcode,locality
-37.81956499995999,144.94766200034746,105848,99.218,3008,DOCKLANDS
-37.81956699997975,144.94766599942417,105847,89.247,3008,DOCKLANDS
-37.81957000033321,144.94767000032863,105846,83.871,3008,DOCKLANDS
-37.8195720003725,144.94767400054133,105845,69.501,3008,DOCKLANDS
-37.81957499980516,144.94767800033586,105844,63.148,3008,DOCKLANDS
-37.81957799983534,144.94768100041105,105843,57.283,3008,DOCKLANDS
-37.81957999987428,144.94768500062446,105842,52.59,3008,DOCKLANDS
-37.81958300020733,144.94768900039494,105841,50.538,3008,DOCKLANDS
-37.819585000246,144.94769300060884,105840,43.988,3008,DOCKLANDS
-37.81958799967807,144.94769700040487,105839,41.153,3008,DOCKLANDS
-37.81958999971649,144.94770100061925,105838,39.785,3008,DOCKLANDS
-37.819592999726325,144.9477039995605,105837,35.288,3008,DOCKLANDS
-37.81959499976451,144.94770799977533,105836,32.356,3008,DOCKLANDS
-37.819597999793984,144.94771099985255,105835,28.739,3008,DOCKLANDS
-37.81960000010722,144.94771299951736,105834,28.152,3008,DOCKLANDS
-37.81960300013656,144.94771599959498,105833,29.326,3008,DOCKLANDS
-37.819605999863036,144.9477179999777,105832,30.01,3008,DOCKLANDS
-37.81960799959801,144.94772100049846,105831,32.649,3008,DOCKLANDS
-37.81961100020534,144.9477229997211,105830,36.657,3008,DOCKLANDS
-37.8196129999402,144.94772600024226,105829,38.123,3008,DOCKLANDS
-37.81961599966652,144.94772800062563,105828,43.304,3008,DOCKLANDS
-37.819618000282205,144.94773099998665,105827,49.658,3008,DOCKLANDS
-37.81962100031112,144.9477340000657,105826,52.297,3008,DOCKLANDS
-37.819622999723265,144.94773599975667,105825,62.268,3008,DOCKLANDS
-37.81962599975206,144.94773899983616,105824,74.976,3008,DOCKLANDS
-37.81962800006486,144.94774099950246,105823,94.917,3008,DOCKLANDS
-37.81963100009355,144.94774399958231,105822,99.316,3008,DOCKLANDS
-37.81963299952533,144.9477460004093,105821,99.316,3008,DOCKLANDS
-37.81963599955389,144.94774900048955,105820,99.316,3008,DOCKLANDS
-37.819639000160805,144.94775099971403,105819,99.316,3008,DOCKLANDS
-37.81964099989499,144.94775400023707,105818,99.316,3008,DOCKLANDS
-37.81964399962087,144.9477560006223,105817,99.316,3008,DOCKLANDS
-37.819646000235885,144.9477589999852,105816,99.316,3008,DOCKLANDS
-37.81964900026414,144.94776200006652,105815,99.316,3008,DOCKLANDS
-37.819650999675844,144.947763999759,105814,99.316,3008,DOCKLANDS
-37.81965399970398,144.94776699984072,105813,99.316,3008,DOCKLANDS
-37.81965600001634,144.9477689995085,105812,99.316,3008,DOCKLANDS
-37.819659000044375,144.94777199959063,105811,99.316,3008,DOCKLANDS
-37.819661000376435,144.94777400039416,105810,99.316,3008,DOCKLANDS
